Target,F6813,e_F6813,F16655,e_F16655,F30282,e_F30282,F54508,e_F54508,ObsDate
V* CR Cha,1.3,0.2,--,--,--,--,--,--,2012Aug03
V* CS Cha,1.5,0.2,--,--,--,--,--,--,2012Aug03
V* CS Cha,0.6,0.1,0.20,0.02,--,--,--,--,2012Oct22
V* DI Cha,0.2,0.2,--,--,--,--,--,--,2012Aug03
V* T Cha,4.1,0.2,--,--,--,--,--,--,2012Aug03
V* T Cha,--,--,--,--,0.15,0.15,0.2,0.2,2012Jul14
Glass I,0.3,0.3,--,--,--,--,--,--,2012Aug03
V* SZ Cha,0.6,0.1,--,--,--,--,--,--,2012Aug03
V* SZ Cha,0.3,0.3,--,--,--,--,--,--,2012Oct22
Sz 32,0.5,0.2,--,--,--,--,--,--,2012Aug03
Sz 32,--,--,--,--,0.15,0.15,0.1,0.1,2012Jul14
V* WW Cha,3.9,0.2,--,--,--,--,--,--,2012Aug03
V* WW Cha,--,--,--,--,0.12,0.12,--,--,2012Jul14
V* WW Cha,--,--,--,--,0.15,0.15,--,--,2012Jul14
Sz 111,0.6,0.2,--,--,--,--,--,--,2012Aug03
Sz 111,0.4,0.1,--,--,--,--,--,--,2012Oct22
V* MY Lup,1.0,0.2,--,--,--,--,--,--,2012Aug03
V* MY Lup,1.2,0.2,--,--,--,--,--,--,2012Oct22
V* GQ Lup,1.2,0.1,--,--,--,--,--,--,2012Aug04
V* GQ Lup,0.5,0.1,0.09,0.09,--,--,--,--,2012Oct22