Target,Ic,Rc,eIc,eRc
[WMR2005] 2-15,13.71,15.63,--,--
[WMR2005] 2-22,13.85,16.27,--,--
[WMR2005] 2-14,15.15,16.85,--,--
[WMR2005] 2-10,14.46,16.49,--,--
[WMR2005] 1-7,12.88,14.52,--,--
[WMR2005] 2-13,15.12,16.64,--,--
[WMR2005] 3-27,14.15,15.37,--,--
[WMR2005] 4-43,17.02,18.64,--,--
[WMR2005] 2-8,13.56,16.03,--,--
[WMR2005] 3-15,14.84,16.78,--,--
[WMR2005] 2-32,14.25,16.17,--,--
[WMR2005] 1-22,12.37,13.82,--,--
[WMR2005] 4-55,16,17.12,--,--
[WMR2005] 2-25,14.52,16.8,--,--
[WMR2005] 1-29,11.33,11.96,--,--
[WMR2005] 1-38,13,14.59,--,--
[WMR2005] 3-14,13.84,15.77,--,--
[WMR2005] 2-1,13,15.03,--,--
[WMR2005] 4-28,15,17.22,--,--
[WMR2005] 1-13,12.99,14.7,--,--
[WMR2005] 2-19,13.75,15.85,--,--
[WMR2005] 1-5,11.84,12.84,--,--
[WMR2005] 4-39,13.06,14.86,--,--
[WMR2005] 2-11,13.31,15.16,--,--
[WMR2005] 1-25,13.08,14.7,--,--
[WMR2005] 4-16,15.8,18.3,--,--
[WMR2005] 4-41,15.62,17.95,--,--
[WMR2005] 4-40,16.09,17.43,--,--
[WMR2005] 1-30,11.75,13.03,--,--
[WMR2005] 1-28,11.59,12.65,--,--
[WMR2005] 2-27,13.97,15.81,--,--
[WMR2005] 4-18,15.83,17.95,--,--
[WMR2005] 4-25,15.79,18.06,--,--
[WMR2005] 4-66,17.85,20.3,--,--
[WMR2005] 4-31,16.45,17.51,--,--
[WMR2005] 4-27,18.9,--,--,--
[WMR2005] 2-36,14.13,16.02,--,--
[WMR2005] 1-2,12.57,14.52,--,--
[WMR2005] 4-4,15.51,17.72,--,--
[WMR2005] 2-29,13.37,15.41,--,--
[WMR2005] 1-21,13.3,14.83,--,--
[WMR2005] 1-20,13.22,14.97,--,--
[WMR2005] 3-22,13.88,15.72,--,--
[WMR2005] 4-13,15.52,17.63,--,--
[WMR2005] 1-36,12.37,13.9,--,--
[WMR2005] 4-30,15.19,17.41,--,--
[WMR2005] 4-59,15.56,17.81,--,--
[WMR2005] 1-32,12.92,14.45,--,--
[WMR2005] 4-53,17.38,19.33,--,--
[WMR2005] 2-38,14.78,16.82,--,--
[WMR2005] 2-17,13.11,15.47,--,--
[WMR2005] 4-32,16.88,18.4,--,--
[WMR2005] 2-9,13.81,15.28,--,--
[WMR2005] 4-46,16.29,18.46,--,--
[WMR2005] 4-26,17.45,18.46,--,--
[WMR2005] 1-37,12.87,14.15,--,--
[WMR2005] 4-42,15.95,17.21,--,--
[WMR2005] 4-63,15.34,17.53,--,--
[WMR2005] 4-65,15.43,17.57,--,--
[WMR2005] 4-37,16.14,18.47,--,--
[WMR2005] 3-44,13.31,14.96,--,--
[WMR2005] 1-9,12.26,13.52,--,--
[WMR2005] 3-17,15.06,16.84,--,--
[WMR2005] 4-10,15.47,17.67,--,--
[WMR2005] 4-9,16.63,18.65,--,--
[WMR2005] 1-6,13.23,14.7,--,--
[WMR2005] 4-62,17.42,18.73,--,--
[WMR2005] 3-6,13.31,15.06,--,--
[WMR2005] 4-45,15.72,17.9,--,--
[WMR2005] 3-7,14.32,16.02,--,--
[WMR2005] 2-20,14.3,15.64,--,--
[WMR2005] 4-22,16.24,18.45,--,--
[WMR2005] 4-12,17.63,18.76,--,--
[WMR2005] 1-19,13.12,14.14,--,--
[WMR2005] 2-6,14.08,16.16,--,--
[WMR2005] 1-1,13.3,14.67,--,--
[WMR2005] 4-54,13.71,15.45,--,--
[WMR2005] 2-35,12.3,13.66,--,--
[WMR2005] 4-24,15.52,17.69,--,--
[WMR2005] 4-38,17.4,--,--,--
[WMR2005] 1-31,12.02,13.24,--,--
[WMR2005] 3-5,14.03,15.76,--,--
[WMR2005] 1-26,11.26,11.76,--,--
[WMR2005] 2-34,13.39,15.21,--,--
[WMR2005] 4-64,17.3,--,--,--
[WMR2005] 3-21,14.09,15.92,--,--
[WMR2005] 4-47,16.48,17.54,--,--
[WMR2005] 1-14,12.19,13.69,--,--
[WMR2005] 1-10,12.66,14.26,--,--
[WMR2005] 1-24,11.95,13.13,--,--
[WMR2005] 4-8,16.99,18.75,--,--
[WMR2005] 3-34,13.4,15.38,--,--
[WMR2005] 3-31,13.51,15.56,--,--
[WMR2005] 2-3,13.89,15.74,--,--
[WMR2005] 4-61,17.26,18.49,--,--
[WMR2005] 4-5,16.66,17.54,--,--
[WMR2005] 2-21,14.27,16.4,--,--
[WMR2005] 3-13,15.9,16.9,--,--
[WMR2005] 3-11,13.67,15.6,--,--
[WMR2005] 4-51,17.49,18.67,--,--
[WMR2005] 3-9,15.32,16.24,--,--
[WMR2005] 3-19,15.53,16,--,--
[WMR2005] 3-20,14.46,16.55,--,--
[WMR2005] 4-58,16.77,18.46,--,--
[WMR2005] 4-14,16.57,17.65,--,--
[WMR2005] 3-12,13.54,15.21,--,--
[WMR2005] 2-12,15.69,16.9,--,--
[WMR2005] 4-3,15.55,17.69,--,--
[WMR2005] 2-37,14.95,16.97,--,--
[WMR2005] 2-5,14.38,16.42,--,--
[WMR2005] 2-30,14.6,16.29,--,--
[WMR2005] 2-4,14.6,16.52,--,--
[WMR2005] 3-39,14.79,16.78,--,--
[WMR2005] 1-11,12.46,14.25,--,--
[WMR2005] 4-44,17.17,18.37,--,--
[WMR2005] 3-2,15.05,16.4,--,--
[WMR2005] 4-23,16.56,17.78,--,--
[WMR2005] 4-57,15.95,18.3,--,--
[WMR2005] 1-35,11.36,12.59,--,--
[WMR2005] 4-50,16.28,17.85,--,--
[WMR2005] 2-23,14.47,16.54,--,--
[WMR2005] 4-1,15.75,17.02,--,--
[WMR2005] 1-15,10.95,12.4,--,--
[WMR2005] 4-49,16.85,17.95,--,--
[WMR2005] 3-43,13.54,15.24,--,--
[WMR2005] 4-56,17.04,17.82,--,--
[WMR2005] 3-4,15.2,16.2,--,--
[WMR2005] 4-52,17.39,18.3,--,--
[WMR2005] 4-35,16.54,18.25,--,--
[WMR2005] 3-37,14.49,16.53,--,--
[WMR2005] 4-20,17.8,18.89,--,--
[WMR2005] 1-3,11.68,--,--,--
[WMR2005] 4-60,17.7,18.66,--,--
[WMR2005] 4-21,17.48,18.35,--,--
[WMR2005] 4-15,16.11,17.13,--,--