Target,F70,eF70,F100,eF100,F160,eF160,F250,eF250,F350,eF350,F500,eF500
Sz 65,0.47,0.12,--,--,0.55,0.14,0.77,0.15,0.95,0.19,1.59,1.59
Sz 66,0.45,0.11,--,--,0.55,0.14,0.81,0.16,0.98,0.20,1.63,1.63
Sz 68,3.01,0.75,3.80,0.95,11.77,2.94,13.06,2.61,10.22,2.04,6.74,1.35,
Sz 69,0.12,0.03,0.19,0.05,0.31,0.31,1.59,1.59,0.88,0.88,2.13,2.13
SSTc2d J160703.9-391112,0.07,0.02,0.10,0.02,0.19,0.05,0.33,0.33,0.44,0.44,0.43,0.43
Sz 90,0.36,0.09,0.37,0.09,0.26,0.07,0.51,0.10,0.50,0.10,0.61,0.61
Sz 91,0.51,0.13,0.68,0.17,0.72,0.18,0.86,0.17,0.62,0.12,0.38,0.08,
Sz 95,0.05,0.05,0.05,0.01,0.09,0.02,0.28,0.28,0.30,0.30,0.25,0.25
Sz 96,0.14,0.03,0.12,0.03,0.10,0.02,1.49,1.49,1.87,1.87,1.96,1.96
2MASS J16081497-3857145,0.08,0.08,0.07,0.02,0.11,0.11,0.48,0.48,0.25,0.25,0.21,0.21
Sz 98,0.64,0.16,0.58,0.14,0.50,0.12,0.93,0.19,1.14,0.23,2.12,2.12
Sz 100,0.17,0.04,0.23,0.06,0.29,0.07,0.59,0.12,1.99,1.99,1.33,1.33
Sz 102,0.34,0.09,0.37,0.09,0.22,0.06,3.25,3.25,4.07,4.07,4.37,4.37
Sz 103,0.11,0.03,0.16,0.04,0.23,0.23,2.13,2.13,1.64,1.64,1.20,1.20
Sz 104,0.10,0.02,0.18,0.04,0.19,0.19,2.08,2.08,1.97,1.97,2.13,2.13
HR 5999,4.25,1.06,3.20,0.80,1.60,0.40,0.92,0.18,0.47,0.09,3.26,3.26
RX J1608.6-3922,0.40,0.10,0.69,0.17,1.36,0.34,2.55,0.51,2.83,0.57,2.40,0.48,
Sz 108B,0.20,0.05,0.21,0.05,0.61,0.61,5.81,5.81,9.68,9.68,8.85,8.85
Sz 110,0.13,0.03,0.09,0.02,0.26,0.26,0.57,0.57,0.48,0.48,0.76,0.76
Sz 111,1.16,0.29,--,--,1.73,0.43,1.31,0.26,0.94,0.19,0.58,0.12,
Sz 112,0.10,0.03,0.04,0.01,0.16,0.16,0.33,0.33,0.27,0.27,0.38,0.38
SSTc2d J160901.4-392512,0.08,0.02,0.09,0.02,0.12,0.03,0.15,0.03,0.13,0.03,0.07,0.01,
Sz 114,0.28,0.07,0.26,0.06,0.13,0.03,0.53,0.53,0.51,0.51,1.11,1.11
Sz 117,0.06,0.02,0.11,0.03,0.17,0.04,0.82,0.82,0.70,0.70,0.65,0.65
Sz 118,0.35,0.09,0.46,0.11,0.37,0.09,0.49,0.10,0.56,0.11,0.98,0.98
SSTc2d J161029.6-392215,0.07,0.02,0.10,0.02,0.13,0.13,0.29,0.29,0.27,0.27,0.26,0.26
Sz 123,0.27,0.07,0.37,0.09,0.45,0.11,0.17,0.03,0.12,0.02,0.08,0.02,
SSTc2d J160002.4-422216,0.10,0.02,0.20,0.05,0.21,0.05,0.22,0.04,0.23,0.05,0.17,0.03,
IRAS 15567-4141,0.11,0.03,0.05,0.01,0.11,0.11,0.38,0.38,0.34,0.34,0.22,0.22
Sz 130,0.11,0.03,0.12,0.03,0.05,0.01,0.39,0.39,0.34,0.34,0.34,0.34
V* MY Lup,1.04,0.26,1.26,0.31,1.57,0.39,1.33,0.27,0.93,0.19,0.58,0.12,
Sz 131,0.11,0.03,--,--,0.10,0.10,0.24,0.24,0.35,0.35,0.25,0.25
SSTc2d J160111.6-413730,0.05,0.05,--,--,0.09,0.09,0.11,0.02,0.07,0.01,0.16,0.16
Sz 133,0.21,0.05,0.38,0.10,0.32,0.08,0.37,0.07,0.30,0.06,0.20,0.04,