Target,F450,eF450,F800,eF800,F1100,eF1100,ObsDate
V* RV Tau,--,--,60,30,28,11,1991May
V* KS Per,--,--,50,50,30,30,1991May
HD 44179,5700,500,920,60,460,50,1991May
HR 4049,500,500,920,60,460,50,1991May
HD 105578,--,--,50,20,30,30,1991May
HD 107369,--,--,50,50,50,50,1991May
HD 108015,--,--,--,--,50,50,1991May
HD 112374,--,--,50,50,40,40,1991May
HD 137569,--,--,60,60,30,30,1991May
V* R CrB,--,--,70,70,100,100,1991May
HD 142666,1090,60,287,10,145,12,1991May
HD 143006,1140,80,162,14,87,17,1991May
HD 145718,900,900,46,16,39,15,1991May
V* UU Her,--,--,20,20,20,20,1991May
HD 316285,2500,200,65,7,160,15,1991May
* 89 Her,300,300,36,9,50,50,1991May
HD 172324,--,--,50,50,50,50,1991May
V* V348 Sgr,500,500,30,30,--,--,1991May
HD 179821,1220,120,227,17,58,9,1991May
HD 187885,530,160,60,60,40,40,1991May
HD 190390,150,150,40,40,50,50,1991May
HD 213985,300,300,20,20,30,30,1991May