Target,Umag,eUmag,Bmag,eBmag,fVmag,Vmag,eVmag,Rmag,eRmag,Imag,eImag,ObsDate
HBC 186,--,--,10.80,0.08,--,9.52,0.15,8.63,0.05,8.11,0.15,2004Nov29
HBC 186,11.57,0.08,10.81,0.04,--,9.47,0.04,8.60,0.05,7.89,0.09,2005Dec10
HBC 186,--,--,10.87,0.05,--,9.65,0.03,8.87,0.05,8.13,0.05,2006Aug28
HD 45677,7.03,0.07,7.56,0.06,--,7.51,0.05,7.33,0.05,7.24,0.04,2004Nov27
HD 45677,6.99,0.08,--,--,--,7.52,0.04,7.35,0.05,7.06,0.09,2005Dec10
HD 259431,8.45,0.07,8.87,0.06,--,8.65,0.05,8.30,0.05,8.02,0.04,2004Nov27
HD 53179,9.78,0.07,9.86,0.06,--,9.17,0.05,8.50,0.05,7.75,0.04,2004Nov27
HD 53367,7.08,0.07,7.55,0.06,--,7.16,0.05,6.97,0.05,6.65,0.04,2004Nov27
HD 58647,6.66,0.07,6.874,0.06,--,6.73,0.05,6.76,0.05,6.67,0.04,2004Nov27
SCM 50,--,--,--,--,>,15.9,15.9,15.6,0.10,12.52,0.04,2004Nov27
ASCC 952815,--,--,2.36,0.09,--,2.18,0.08,2.17,0.09,2.22,0.07,2006Jun09
HD 141569,--,--,7.32,0.09,--,7.16,0.08,7.14,0.09,7.15,0.07,2006Jun09
HD 141569,--,--,7.32,0.05,--,7.14,0.04,7.23,0.06,7.03,0.04,2006Aug27
HD 142666,--,--,9.70,0.05,--,9.05,0.04,8.77,0.06,8.32,0.04,2006Aug28
HD 143006,--,--,10.94,0.09,--,10.12,0.08,9.63,0.09,9.38,0.07,2006Jun09
HD 143006,--,--,10.95,0.05,--,10.14,0.04,9.75,0.06,9.22,0.04,2006Aug28
HD 144432,--,--,8.57,0.09,--,8.21,0.08,7.98,0.09,7.96,0.07,2006Jun09
HD 144432,--,--,8.62,0.05,--,8.20,0.03,7.97,0.04,7.83,0.04,2006Aug28
HD 150193,--,--,9.43,0.09,--,8.87,0.08,8.48,0.09,8.20,0.07,2006Jun09
HD 150193,--,--,9.42,0.05,--,8.87,0.04,8.58,0.06,8.04,0.04,2006Aug27
FMC 34,--,--,12.77,0.09,--,12.11,0.08,11.61,0.09,11.16,0.07,2006Jun09
HD 158352,--,--,5.67,0.05,--,5.38,0.04,5.33,0.06,5.18,0.04,2006Aug27
HD 158643,--,--,4.81,0.09,--,4.78,0.08,4.80,0.09,4.73,0.07,2006Jun09
HD 158643,--,--,4.87,0.05,--,4.78,0.03,4.81,0.04,4.62,0.04,2006Aug28
HD 162214,--,--,12.65,0.08,--,11.43,0.06,10.21,0.05,9.51,0.07,2006Jun08
HD 163296,--,--,6.98,0.08,--,6.84,0.06,6.86,0.05,6.71,0.07,2006Jun08
HD 163296,--,--,7.01,0.05,--,6.86,0.04,6.90,0.06,6.72,0.04,2006Aug27
HD 169412,--,--,7.89,0.09,--,7.82,0.08,7.85,0.09,7.97,0.07,2006Jun09
FMC 38,--,--,14.38,0.09,--,12.26,0.08,10.29,0.09,9.10,0.07,2006Jun09
FMC 38,--,--,14.27,0.05,--,12.23,0.04,10.30,0.06,8.92,0.04,2006Aug27
FMC 39,--,--,13.23,0.08,--,12.22,0.06,11.36,0.05,10.61,0.07,2006Jun08
ALS 19713,--,--,12.87,0.09,--,11.82,0.08,11.01,0.09,10.56,0.07,2006Jun09
CHLT 7,--,--,12.17,0.05,--,11.45,0.03,10.82,0.05,10.15,0.05,2006Aug28
CHLT 16,--,--,13.67,0.05,--,12.5,0.03,11.87,0.05,11.23,0.05,2006Aug28
HD 179218,--,--,7.50,0.05,--,7.37,0.04,7.41,0.06,7.26,0.04,2006Aug27
ALS 10394,--,--,11.06,0.05,--,10.65,0.03,10.38,0.05,10.06,0.05,2006Aug28
HD 190073,--,--,7.85,0.08,--,7.79,0.06,7.69,0.05,7.59,0.07,2006Jun08
HD 190073,--,--,7.93,0.05,--,7.8,0.04,7.77,0.06,7.58,0.04,2006Aug27
ALS 11188,--,--,11.63,0.09,--,10.79,0.08,0.06,0.09,9.58,0.07,2006Jun09
ALS 11256,--,--,11.88,0.09,--,10.57,0.08,9.44,0.09,8.72,0.07,2006Jun09
HBC 300,16.00,0.28,14.32,0.06,--,12.50,0.05,11.18,0.05,9.78,0.04,2004Nov27
HD 200775,--,--,7.75,0.05,--,7.33,0.03,7.00,0.04,6.62,0.05,2006Aug28
ALS 19655,10.48,0.07,10.52,0.06,--,10.07,0.05,9.85,0.05,9.50,0.04,2004Nov27
HIP 113937,--,--,9.12,0.05,--,9.07,0.04,9.18,0.06,9.08,0.04,2006Aug27
HD 218932,--,--,9.51,0.05,--,9.12,0.04,8.98,0.06,8.67,0.04,2006Aug27
HIP 115858,--,--,7.09,0.05,--,6.88,0.04,6.92,0.06,6.72,0.04,2006Aug27
HD 2235,--,--,6.72,0.05,--,6.81,0.04,6.94,0.06,6.93,0.04,2006Aug27
HIP 2370,--,--,12.65,0.05,--,12.28,0.04,12.13,0.06,11.75,0.04,2006Aug27
HIP 3013,--,--,10.67,0.05,--,10.86,0.04,6.95,0.06,11.07,0.04,2006Aug27
HD 281934,13.20,0.15,13.36,0.03,--,12.32,0.04,11.45,0.04,10.60,0.04,2004Nov29
ALS 7930,12.13,0.07,12.41,0.06,--,11.77,0.05,10.79,0.05,9.99,0.04,2004Nov27
ALS 7930,12.32,0.08,12.70,0.04,--,11.75,0.05,10.64,0.05,9.82,0.09,2005Dec10
ALS 7930,--,--,12.59,0.05,--,11.71,0.03,10.72,0.04,9.94,0.05,2006Aug28
Ced 33,13.93,0.04,13.97,0.03,--,12.79,0.04,11.70,0.04,10.67,0.04,2004Nov29
HBC 39,16.06,0.25,14.45,0.03,--,12.96,0.04,11.87,0.04,10.70,0.04,2004Nov29
HBC 405,14.66,0.15,13.52,0.03,--,12.21,0.04,11.26,0.04,10.44,0.04,2004Nov29
HBC 419,13.98,0.07,13.30,0.03,--,12.09,0.04,11.26,0.04,10.52,0.04,2004Nov29
HBC 77,13.9,0.04,13.38,0.03,--,12.19,0.04,11.34,0.04,10.61,0.04,2004Nov29
GC 5998,7.18,0.08,7.14,0.04,--,7.01,0.04,6.96,0.05,6.70,0.09,2005Dec10
GC 5998,--,--,7.19,0.05,--,7.05,0.05,7.01,0.06,6.8,0.04,2006Aug27
HD 31648,--,--,7.91,0.05,--,7.68,0.03,7.62,0.05,0.45,0.05,2006Aug28
HD 293782,10.93,0.07,10.70,0.06,--,10.33,0.05,10.07,0.05,9.75,0.04,2004Nov29
HD 293782,10.43,0.08,10.22,0.04,--,9.97,0.04,9.87,0.05,9.56,0.09,2005Dec10
HD 240764,10.86,0.04,11.07,0.03,--,10.32,0.04,9.78,0.04,9.17,0.04,2004Nov29
HD 244138,11.60,0.04,11.29,0.03,--,10.16,0.04,9.38,0.04,8.75,0.04,2004Nov29
HD 36112,8.59,0.07,8.56,0.06,--,8.28,0.05,8.11,0.05,7.95,0.04,2004Nov29
HD 36112,--,--,8.58,0.05,--,8.28,0.03,8.15,0.04,7.92,0.05,2006Aug28
CSV 630,10.29,0.07,10.43,0.06,--,10.06,0.05,9.67,0.05,8.99,0.04,2004Nov29
CSV 630,10.07,0.08,10.15,0.04,--,9.74,0.04,9.38,0.05,8.80,0.09,2008Aug27
