Target,U,B,V,R,I,J,H,K,eU,eB,eV,eR,eI,eJ,eH,eK
HD 17081,--,4.12,4.23,4.30,4.42,4.47,4.52,4.55,--,--,--,--,--,--,--,--
V* AB Aur,7.18,7.17,7.05,7.00,6.80,5.96,5.17,4.30,--,--,--,--,--,--,--,--
HD 31648,7.93,7.89,7.70,7.58,7.45,6.81,6.23,5.41,--,--,--,--,--,--,--,--
HD 293782,10.30,10.04,9.76,9.62,9.45,8.86,8.00,7.12,--,--,--,--,--,--,--,--
HD 34282,10.22,10.07,9.88,9.79,9.65,9.15,8.48,7.80,--,--,--,--,--,--,--,--
V* CO Ori,13.41,12.92,11.76,11.05,10.31,8.70,7.52,6.61,--,--,--,--,--,--,--,--
HD 35929,8.69,8.54,8.11,7.85,7.59,7.29,6.90,6.58,--,--,--,--,--,--,--,--
EM* MWC 758,8.74,8.61,8.30,8.13,7.92,7.31,6.49,5.70,--,--,--,--,--,--,--,--
HD 244604,9.77,9.64,9.43,9.32,9.18,8.69,7.98,7.23,--,--,--,--,--,--,--,--
HD 36917,8.22,8.17,8.00,7.86,7.66,7.33,7.10,6.66,--,--,--,--,--,--,--,--
V* T Ori,10.98,10.96,10.49,10.13,10.49,8.70,7.41,6.34,--,--,--,--,--,--,--,--
HD 37258,9.78,9.72,9.59,9.51,9.40,8.94,8.37,7.68,--,--,--,--,--,--,--,--
HD 37357,9.07,9.02,8.89,8.83,8.74,8.37,7.92,7.33,--,--,--,--,--,--,--,--
V* V1247 Ori,10.31,10.22,9.88,9.68,9.44,8.88,8.20,7.41,--,--,--,--,--,--,--,--
HD 37411,10.11,10.00,9.83,9.72,9.56,9.05,8.36,7.57,--,--,--,--,--,--,--,--
HD 37806,7.83,7.98,7.92,7.84,7.73,7.33,6.48,5.58,--,--,--,--,--,--,--,--
HD 38087,8.04,8.45,8.30,8.15,7.96,7.71,7.43,7.38,--,--,--,--,--,--,--,--
HD 39014,4.68,4.55,4.32,4.19,4.05,3.90,3.77,3.72,--,--,--,--,--,--,--,--
HD 250550,9.55,9.75,9.60,9.46,9.26,8.47,7.53,6.63,--,--,--,--,--,--,--,--
HD 45677,6.81,7.43,7.39,7.21,7.11,6.87,6.09,4.48,--,--,--,--,--,--,--,--
HD 259431,8.57,9.05,8.73,8.39,8.07,7.42,6.71,5.71,--,--,--,--,--,--,--,--
EM* MWC 158,6.34,6.66,6.64,6.56,6.48,6.01,5.22,4.32,--,--,--,--,--,--,--,--
HD 53367,6.86,7.47,7.00,6.65,6.23,5.81,5.54,5.31,--,--,--,--,--,--,--,--
HD 56895,8.82,8.78,8.38,8.12,7.81,6.36,4.93,3.91,--,--,--,--,--,--,--,--
HD 58647,6.74,6.86,6.80,6.76,6.68,6.50,6.16,5.46,--,--,--,--,--,--,--,--
HD 85567,8.17,8.69,8.54,8.33,8.09,7.60,6.69,5.75,--,--,--,--,--,--,--,--
HD 95881,8.44,8.40,8.25,8.12,7.96,7.32,6.45,5.51,--,--,--,--,--,--,--,--
HD 97048,9.20,8.94,8.55,8.30,8.02,7.42,6.85,6.10,--,--,--,--,--,--,--,--
HD 98922,6.78,6.80,6.75,6.69,6.61,6.19,5.40,4.45,--,--,--,--,--,--,--,--
HD 100453,8.12,8.09,7.79,7.62,7.44,7.11,6.55,5.78,--,--,--,--,--,--,--,--
HD 100546,6.59,6.68,6.67,6.65,6.66,6.51,6.18,5.69,--,--,--,--,--,--,--,--
HD 104237,7.02,6.92,6.67,6.51,6.32,5.81,5.17,4.56,--,--,--,--,--,--,--,--
HD 139614,8.55,8.52,8.27,8.12,7.97,7.68,7.22,6.62,--,--,--,--,--,--,--,--
HD 141569,7.25,7.22,7.10,7.04,6.94,6.78,6.62,6.55,--,--,--,--,--,--,--,--
HD 142666,9.39,9.17,8.67,8.34,8.00,7.49,6.68,5.92,--,--,--,--,--,--,--,--
HD 142527,9.25,9.01,8.29,7.85,7.40,6.58,5.78,5.09,--,--,--,--,--,--,--,--
HD 143006,11.21,10.94,10.12,9.63,9.17,8.33,7.52,6.86,--,--,--,--,--,--,--,--
HD 144432,8.65,8.54,8.18,7.95,7.69,7.16,6.53,5.94,--,--,--,--,--,--,--,--
HD 144668,7.76,7.53,7.16,6.90,6.63,5.82,5.12,4.37,--,--,--,--,--,--,--,--
HD 145718,9.53,9.24,8.78,8.51,8.21,7.79,7.31,6.75,--,--,--,--,--,--,--,--
HD 149914,7.12,7.02,6.74,6.54,6.30,5.89,5.75,5.70,--,--,--,--,--,--,--,--
HD 150193,9.67,9.36,8.81,8.43,7.97,6.93,6.06,5.29,--,--,--,--,--,--,--,--
V* AK Sco,--,9.81,9.17,8.72,8.38,7.67,7.03,6.38,--,--,--,--,--,--,--,--
HD 158643,4.79,4.82,4.80,4.77,4.72,4.63,4.56,4.28,--,--,--,--,--,--,--,--
HD 163296,6.93,6.93,6.84,6.77,6.69,6.24,5.46,4.61,--,--,--,--,--,--,--,--
HD 169142,8.38,8.42,8.13,7.95,7.74,7.42,7.07,6.86,--,--,--,--,--,--,--,--
EM* MWC 297,15.53,14.53,12.23,10.39,8.97,6.26,4.46,3.06,--,--,--,--,--,--,--,--
V* VV SER,13.71,13.33,12.33,11.66,10.92,8.73,7.38,6.27,--,--,--,--,--,--,--,--
V* R CrA,13.96,13.69,12.77,11.93,10.83,7.34,5.22,3.56,--,--,--,--,--,--,--,--
HD 179218,7.58,7.50,7.39,7.34,7.28,7.03,6.60,5.93,--,--,--,--,--,--,--,--
HD 190073,7.91,7.95,7.83,7.75,7.62,7.25,6.60,5.77,--,--,--,--,--,--,--,--