Target,Umag,eUmag,Bmag,eBmag,Vmag,eVmag,Rcmag,eRcmag,Icmag,eIcmag,ObsDate
HD 7151,10.368,0.02,10.356,0.02,9.946,0.02,9.713,0.02,9.481,0.02,1995Sep12
HD 7151,10.404,0.02,10.385,0.02,9.967,0.02,9.727,0.02,9.487,0.02,1995Sep13
HD 16157,11.245,0.02,10.133,0.02,8.758,0.02,7.869,0.02,6.941,0.02,1995Sep12
HD 16157,11.200,0.02,10.089,0.02,8.724,0.02,7.835,0.02,6.925,0.02,1995Sep15
HD 28001,9.994,0.02,9.943,0.02,9.728,0.02,9.614,0.02,9.498,0.02,1995Sep16
HD 137751,9.869,0.02,9.840,0.02,9.316,0.02,9.033,0.02,8.724,0.02,1995Sep13
HD 139450,9.369,0.02,9.339,0.02,8.773,0.02,8.454,0.02,8.128,0.02,1995Sep13
HD 150193,9.697,0.02,9.376,0.02,8.821,0.02,8.424,0.02,7.953,0.02,1995Sep12
HD 150193,9.678,0.02,9.375,0.02,8.823,0.02,8.435,0.02,7.939,0.02,1995Sep17
HD 153968,9.841,0.02,9.666,0.02,9.315,0.02,9.096,0.02,8.833,0.02,1995Sep17
HD 165088,10.109,0.02,10.140,0.02,9.674,0.02,9.387,0.02,9.086,0.02,1995Sep12
HD 181327,7.490,0.02,7.504,0.02,7.032,0.02,6.769,0.02,6.501,0.02,1995Sep12
HD 181327,7.503,0.02,7.516,0.02,7.043,0.02,6.772,0.02,6.513,0.02,1995Sep13
HD 184800,10.158,0.02,10.055,0.02,9.765,0.02,9.601,0.02,9.449,0.02,1995Sep12
HD 191089,7.579,0.02,7.626,0.02,7.169,0.02,6.902,0.02,6.646,0.02,1995Sep13
HD 195627,5.094,0.02,5.031,0.02,4.751,0.02,4.578,0.02,4.411,0.02,1995Sep13
HD 203608,4.608,0.02,4.710,0.02,4.219,0.02,3.924,0.02,3.613,0.02,1995Sep13
HD 214953,6.599,0.02,6.536,0.02,5.978,0.02,5.654,0.02,5.333,0.02,1995Sep13