Target,u,e_u,v,e_v,b,e_b,y,e_y,ObsDate
HD 7151,11.632,--,10.633,--,10.202,--,9.938,--,1995Sep14
HD 7151,11.662,--,10.683,--,10.249,--,9.981,--,1995Sep18
HD 10800,7.957,--,7.051,--,6.442,--,6.015,--,1995Sep14
HD 10800,7.738,--,6.866,--,6.301,--,5.898,--,1995Sep18
HD 16157,12.53,--,11.081,--,9.683,--,8.801,--,1995Sep14
HD 16157,12.47,--,11.057,--,9.648,--,8.752,--,1995Sep18
HD 17848,6.853,--,5.602,--,5.356,--,5.292,--,1995Sep14
HD 17848,6.791,--,5.548,--,5.305,--,5.25,--,1995Sep18
HD 21563,8.234,--,6.936,--,6.449,--,6.139,--,1995Sep18
HD 28001,11.433,--,10.247,--,9.924,--,9.806,--,1995Sep14
HD 28001,11.397,--,10.227,--,9.912,--,9.772,--,1995Sep18
HD 38905,11.487,--,10.613,--,10.099,--,9.757,--,1995Sep18
HD 39944,11.283,--,10.429,--,9.904,--,9.537,--,1995Sep18
HD 150193,11.283,--,9.806,--,9.345,--,8.944,--,1995Sep14
HD 176638,66.052,--,44.896,--,24.756,--,4.755,--,1995Sep14
HD 181327,8.698,--,7.81,--,7.341,--,7.037,--,1995Sep18
HD 184800,11.479,--,10.308,--,9.946,--,9.774,--,1995Sep18
HD 191089,8.785,--,7.924,--,7.468,--,7.168,--,1995Sep14
HD 191089,8.808,--,7.946,--,7.481,--,7.181,--,1995Sep18
HD 195627,6.418,--,5.316,--,4.942,--,4.752,--,1995Sep14
HD 214953,7.767,--,6.862,--,6.324,--,5.968,--,1995Sep14
HD 214953,7.792,--,6.882,--,6.344,--,5.982,--,1995Sep18