Target,F3.6,eF3.6,F4.5,eF4.5,F5.8,eF5.8,F8.0,eF8.0,F24,eF24
V* S CrA,5.06,0.005,4.386,0.005,3.699,0.005,2.969,0.004,--,--
[FP2007] J190115.86-370344.3,13.971,0.014,13.371,0.012,12.092,0.02,11.616,0.029,--,--
[FP2007] J190119.39-370142.0,--,--,--,--,12.299,0.017,11.458,0.033,6.106,0.005
[FP2007] J190122.40-370055.4,--,--,--,--,--,--,12.697,0.092,--,--
ISO-CrA 134,7.876,0.002,7.367,0.002,6.862,0.003,6.537,0.002,--,--
ISO-CrA 135,9.599,0.005,9.601,0.004,9.551,0.007,9.611,0.007,--,--
V* V709 CrA,7.863,0.002,7.717,0.003,7.533,0.004,7.512,0.004,6.794,0.01
HD 176386,7.837,0.003,7.781,0.003,6.243,0.003,4.706,0.003,--,--
[FP2007] J190139.34-370207.8,10.11,0.005,10.097,0.005,9.979,0.007,9.927,0.01,9.364,0.104
V* TY CrA,6.217,0.005,6.085,0.005,4.478,0.004,--,--,--,--
[FP2007] J190141.55-365831.6,5.181,0.004,4.281,0.003,--,--,2.23,0.003,--,--
HBC 677,7.725,0.003,7.201,0.003,6.528,0.004,5.859,0.004,--,--
2MASS J19014805-3657219,7.456,0.002,6.293,0.001,--,--,3.937,0.003,--,--
[FP2007] J190148.46-365714.5,--,--,9.115,0.003,--,--,7.017,0.003,--,--
[FP2007] J190150.45-365638.1,8.48,0.003,7.687,0.004,--,--,6.286,0.003,--,--
V* V710 CrA,--,--,3.659,0.003,--,--,--,--,--,--
[FP2007] J190151.11-365412.5,9.911,0.005,9.358,0.005,8.744,0.006,7.946,0.005,--,--
[FP2007] J190152.63-365700.2,8.031,0.003,7.313,0.003,--,--,--,--,--,--
2MASS J19015545-3657231,8.635,0.004,7.073,0.003,--,--,--,--,--,--
[FP2007] J190155.61-365651.1,10.181,0.005,9.025,0.004,--,--,6.86,0.004,--,--
[FP2007] J190155.76-365727.7,9.73,0.004,8.293,0.004,--,--,--,--,--,--
[FP2007] J190155.85-365204.3,--,--,13.387,0.016,11.66,0.018,10.921,0.02,7.532,0.021
[FP2007] J190156.39-365728.4,9.417,0.004,--,--,--,--,--,--,--,--
[FP2007] J190157.46-370311.9,12.32,0.007,12.264,0.006,11.925,0.089,12.086,0.037,--,--
[FP2007] J190158.32-370027.5,12.426,0.007,12.102,0.008,11.508,0.017,12.008,0.05,--,--
V* T CrA,--,--,4.819,0.005,4.217,0.005,--,--,--,--
V* V702 CrA,8.444,0.004,8.329,0.003,8.282,0.0048,8.28,0.003,8.122,0.034
[FP2007] J190201.94-365400.1,14.099,0.019,14.766,0.054,--,--,--,--,8.617,0.048
HBC 679,9.031,0.003,8.967,0.004,8.901,0.005,8.868,0.006,8.258,0.039
ISO-CrA 159,7.565,0.002,7.016,0.003,6.372,0.003,5.887,0.004,3.704,0.001