Target,Jmag,eJmag,Hmag,eHmag,Kmag,eKmag,Lmag,eLmag
SAO 21171,7.79,0.02,7.78,0.02,7.74,0.02,7.74,0.02
SAO 21775,,,,,,,5.99,0.02
SAO 21910,7.78,0.02,7.46,0.02,7.36,0.02,7.26,0.02
SAO 21938,6.51,0.02,6.39,0.02,6.22,0.02,5.99,0.02
SAO 147886,5.54,0.02,5.51,0.02,5.51,0.02,5.53,0.02
SAO 76159,5.80,0.02,,,5.82,0.02,5.83,0.02
SAO 24378,7.03,0.02,,,,,5.5,0.02
SAO 131926,8.99,0.02,8.54,0.02,8.06,0.02,6.75,0.02
SAO 112630,7.93,0.02,7.71,0.02,7.67,0.02,6.89,0.02
SAO 40257,7.36,0.02,,,,,6.3,0.02
SAO 77144,7.07,0.02,6.62,0.02,6.09,0.02,5.33,0.02
SAO 132389,,,,,8.7,0.02,,
SAO 132393,9.0,0.02,8.2,0.02,7.5,0.02,6.2,0.02
SAO 132483,8.4,0.02,7.8,0.02,7.2,0.02,6.1,0.02
SAO 151723,,,,,9.5,0.02,9.7,0.02
SAO 179815,6.44,0.02,5.82,0.02,5.66,0.02,5.5,0.02
SAO 206462,7.31,0.02,6.67,0.02,5.97,0.02,4.89,0.02
SAO 183956,7.32,0.02,6.70,0.02,6.02,0.02,5.04,0.02
SAO 50172,7.80,0.02,7.52,0.02,6.62,0.02,5.7,0.02
SAO 52339,,,,,,,7.52,0.02
SAO 35963,,,,,8.09,0.02,,