Target,F450,e_F450,F800,e_F800,F1100,e_F1100,F1300,e_F1300,F2000,e_F2000,ObsDate
HD 16908,--,--,--,--,39,39,--,--,--,--,1992Aug
HD 18537,--,--,--,--,34,34,--,--,--,--,1992Aug
HD 23680,--,--,--,--,45,45,--,--,--,--,1992Aug
HD 34282,1300,300,409,27,--,--,--,--,--,--,1993Dec
HD 34282,--,--,--,--,183,17,--,--,--,--,1992Aug
HD 34700,--,--,--,--,39,13,--,--,--,--,1992Aug
HD 35187,--,--,--,--,80,10,--,--,--,--,1992Aug
HD 35187,--,--,115,22,--,--,--,--,--,--,1993Dec
HD 49662,--,--,--,--,42,42,--,--,--,--,1992Aug
HD 98800,--,--,111,12,88,11,--,--,--,--,1992Feb
HD 98800,--,--,--,--,60,6,--,--,--,--,1992Mar
HD 98800,3600,3600,--,--,--,--,11,3,--,--,1994Apr
HD 123160,--,--,41,41,47,47,--,--,--,--,1992Feb
HD 123160,--,--,--,--,16,16,--,--,--,--,1992Mar
HD 135344,--,--,570,21,209,14,--,--,--,--,1992Feb
HD 135344,--,--,--,--,--,--,142,19,76,76,1994Aug
HD 139614,--,--,608,27,264,16,--,--,--,--,1992Feb
HD 139614,--,--,--,--,287,24,242,15,80,16,1994Aug
HD 141569,--,--,--,--,36,36,--,--,--,--,1992Mar
HD 141569,--,--,--,--,44,44,--,--,--,--,1992Feb
HD 142666,--,--,351,23,167,17,--,--,--,--,1992Feb
HD 142666,1090,60,--,--,--,--,118,15,--,--,1994Apr
HD 142666,--,--,795,795,190,17,131,11,63,63,1994Aug
HD 142764,--,--,--,--,45,45,--,--,--,--,1992Aug
HD 142764,--,--,--,--,63,63,--,--,--,--,1992Feb
HD 143006,--,--,233,25,114,14,--,--,--,--,1992Feb
HD 143006,720,340,--,--,--,--,57,17,--,--,1994Apr
HD 143006,--,--,--,--,--,--,65,9,132,132,1994Aug
HD 144432,--,--,--,--,58,19,--,--,--,--,1992Feb
HD 144432,--,--,103,34,72,12,--,--,--,--,1992Aug
HD 155826,--,--,220,220,80,80,--,--,--,--,1992Feb
HD 155826,--,--,--,--,31,17,--,--,--,--,1992Aug
HD 158643,--,--,--,--,42,42,--,--,--,--,1992Aug
HD 169142,--,--,504,48,302,19,--,--,--,--,1992Feb
HD 169142,--,--,606,49,271,19,197,15,213,213,1992Aug
HD 169142,--,--,--,--,--,--,--,--,70,19,1994Aug
HD 218396,--,--,--,--,28,11,--,--,--,--,1992Aug
HD 233517,--,--,--,--,36,36,--,--,--,--,1992Mar